,Pclass,Sex,Age,Embarked,Fare,Survived
0,3,1,22,3,7.25,0
1,1,2,38,1,71.2833,1
2,3,2,26,3,7.925,1
3,1,2,35,3,53.1,1
4,3,1,35,3,8.05,0
5,3,1,29,2,8.4583,0
6,1,1,54,3,51.8625,0
7,3,1,2,3,21.075,0
8,3,2,27,3,11.1333,1
9,2,2,14,1,30.0708,1
10,3,2,4,3,16.7,1
11,1,2,58,3,26.55,1
12,3,1,20,3,8.05,0
13,3,1,39,3,31.275,0
14,3,2,14,3,7.8542,0
15,2,2,55,3,16.0,1
16,3,1,2,2,29.125,0
17,2,1,29,3,13.0,1
18,3,2,31,3,18.0,0
19,3,2,27,1,7.225,1
20,2,1,35,3,26.0,0
21,2,1,34,3,13.0,1
22,3,2,15,2,8.0292,1
23,1,1,28,3,35.5,1
24,3,2,8,3,21.075,0
25,3,2,38,3,31.3875,1
26,3,1,29,1,7.225,0
27,1,1,19,3,263.0,0
28,3,2,27,2,7.8792,1
29,3,1,29,3,7.8958,0
30,1,1,40,1,27.7208,0
31,1,2,27,1,146.5208,1
32,3,2,27,2,7.75,1
33,2,1,66,3,10.5,0
34,1,1,28,1,82.1708,0
35,1,1,42,3,52.0,0
36,3,1,29,1,7.2292,1
37,3,1,21,3,8.05,0
38,3,2,18,3,18.0,0
39,3,2,14,1,11.2417,1
40,3,2,40,3,9.475,0
41,2,2,27,3,21.0,0
42,3,1,29,1,7.8958,0
43,2,2,3,1,41.5792,1
44,3,2,19,2,7.8792,1
45,3,1,29,3,8.05,0
46,3,1,29,2,15.5,0
47,3,2,27,2,7.75,1
48,3,1,29,1,21.6792,0
49,3,2,18,3,17.8,0
50,3,1,7,3,39.6875,0
51,3,1,21,3,7.8,0
52,1,2,49,1,76.7292,1
53,2,2,29,3,26.0,1
54,1,1,65,1,61.9792,0
55,1,1,29,3,35.5,1
56,2,2,21,3,10.5,1
57,3,1,28,1,7.2292,0
58,2,2,5,3,27.75,1
59,3,1,11,3,46.9,0
60,3,1,22,1,7.2292,0
62,1,1,45,3,83.475,0
63,3,1,4,3,27.9,0
64,1,1,29,1,27.7208,0
65,3,1,29,1,15.2458,1
66,2,2,29,3,10.5,1
67,3,1,19,3,8.1583,0
68,3,2,17,3,7.925,1
69,3,1,26,3,8.6625,0
70,2,1,32,3,10.5,0
71,3,2,16,3,46.9,0
72,2,1,21,3,73.5,0
73,3,1,26,1,14.4542,0
74,3,1,32,3,56.4958,1
75,3,1,25,3,7.65,0
76,3,1,29,3,7.8958,0
77,3,1,29,3,8.05,0
78,2,1,1,3,29.0,1
79,3,2,30,3,12.475,1
80,3,1,22,3,9.0,0
81,3,1,29,3,9.5,1
82,3,2,27,2,7.7875,1
83,1,1,28,3,47.1,0
84,2,2,17,3,10.5,1
85,3,2,33,3,15.85,1
86,3,1,16,3,34.375,0
87,3,1,29,3,8.05,0
88,1,2,23,3,263.0,1
89,3,1,24,3,8.05,0
90,3,1,29,3,8.05,0
91,3,1,20,3,7.8542,0
92,1,1,46,3,61.175,0
93,3,1,26,3,20.575,0
94,3,1,59,3,7.25,0
95,3,1,29,3,8.05,0
96,1,1,71,1,34.6542,0
97,1,1,23,1,63.3583,1
98,2,2,34,3,23.0,1
99,2,1,34,3,26.0,0
100,3,2,28,3,7.8958,0
101,3,1,29,3,7.8958,0
102,1,1,21,3,77.2875,0
103,3,1,33,3,8.6542,0
104,3,1,37,3,7.925,0
105,3,1,28,3,7.8958,0
106,3,2,21,3,7.65,1
107,3,1,29,3,7.775,1
108,3,1,38,3,7.8958,0
109,3,2,27,2,24.15,1
110,1,1,47,3,52.0,0
111,3,2,14,1,14.4542,0
112,3,1,22,3,8.05,0
113,3,2,20,3,9.825,0
114,3,2,17,1,14.4583,0
115,3,1,21,3,7.925,0
116,3,1,70,2,7.75,0
117,2,1,29,3,21.0,0
118,1,1,24,1,247.5208,0
119,3,2,2,3,31.275,0
120,2,1,21,3,73.5,0
121,3,1,29,3,8.05,0
122,2,1,32,1,30.0708,0
123,2,2,32,3,13.0,1
124,1,1,54,3,77.2875,0
125,3,1,12,1,11.2417,1
126,3,1,29,2,7.75,0
127,3,1,24,3,7.1417,1
128,3,2,27,1,22.3583,1
129,3,1,45,3,6.975,0
130,3,1,33,1,7.8958,0
131,3,1,20,3,7.05,0
